Mold,Sample,Squareness Descuadre FC ,Flange Angle IZQ SUP (jaladera),Flange Angle IZQ INF,Flange Angle DER SUP (bisagra),Flange Angle DER INF,Inner Door Position  Bottom INF IZQ,Inner Door Position  Bottom INF DER ,Inner Door Position  Center IZQ SUP,Inner Door Position  Center IZQ INF,Inner Door Position  Center DER SUP,Inner Door Position  Center DER INF,Inner Door Position  Top SUP IZQ,Inner Door Position  Top SUP DER,Door width SUP,Door width INF,Inner door width (omega) Sup,Inner door width (omega) Inf,Inner door height (omega) Izq,Inner door height (omega) Der,Omega inner width Sup Izq,Omega inner width Sup Cent,Omega inner width Sup Der,Omega inner width Der Sup,Omega inner width Der Cent,Omega inner width Der Inf,Omega inner width Inf Der,Omega inner width Inf Cent,Omega inner width Inf Izq,Omega inner width Izq Inf,Omega inner width Izq Cent,Omega inner width Izq Sup,Omega inner depth Sup Izq,Omega inner depth Sup Cent,Omega inner depth Sup Der,Omega inner depth Der Sup,Omega inner depth Der Cent,Omega inner depth Der Inf,Omega inner depth Inf Der,Omega inner depth Inf Cent,Omega inner depth Inf Izq,Omega inner depth Izq Inf,Omega inner depth Izq Cent,Omega inner depth Izq Sup
1,1,1.00,91.46,91.22,89.71,89.78,21.28,21.03,29.59,27.02,29.53,29.58,45.63,45.73,614.77,614.23,548.17,547.30,455.35,455.30,5.63,5.23,5.44,5.51,5.30,5.72,5.80,5.27,5.77,5.52,5.31,5.52,9.74,9.51,9.98,9.51,9.34,9.50,9.35,9.52,9.54,9.38,9.42,9.38
1,2,1.00,91.36,91.25,89.92,89.88,21.36,21.18,29.78,27.15,29.66,29.45,45.52,45.48,614.63,614.35,548.41,547.18,455.21,455.38,5.58,5.30,5.41,5.50,5.27,5.69,5.78,5.32,5.72,5.50,5.30,5.49,9.72,9.54,9.95,9.49,9.31,9.47,9.38,9.50,9.52,9.35,9.44,9.36
1,3,1.00,91.56,91.44,89.88,89.62,21.35,21.24,29.65,27.25,29.45,29.38,45.55,45.35,614.55,614.28,548.30,547.02,455.26,455.40,5.56,5.31,5.40,5.49,5.28,5.71,5.76,5.30,5.75,5.48,5.29,5.48,9.69,9.49,9.97,9.45,9.29,9.53,9.31,9.47,9.49,9.36,9.41,9.34
2,4,1.00,87.85,88.20,91.63,91.45,20.83,21.05,30.28,29.03,28.25,30.01,44.54,45.26,614.36,614.22,546.93,545.71,455.60,455.32,5.42,5.24,5.78,5.61,5.25,5.54,5.60,5.30,5.52,5.46,5.20,5.32,10.13,9.76,9.91,9.20,9.54,10.40,9.23,9.63,9.91,9.33,10.05,9.76
2,5,1.00,87.95,88.32,91.52,91.66,20.94,21.16,30.11,29.11,28.39,30.15,44.62,45.39,614.26,614.38,547.01,546.12,455.45,455.38,5.40,5.20,5.68,5.54,5.30,5.50,5.54,5.34,5.47,5.41,5.18,5.30,10.08,9.81,9.95,9.23,9.59,10.25,9.28,9.56,9.97,9.35,10.09,9.70
2,6,1.00,87.95,88.26,91.44,91.52,20.89,21.45,30.08,29.22,28.42,30.08,44.26,45.22,614.39,614.27,547.10,546.21,455.56,455.30,5.31,5.28,5.63,5.52,5.22,5.45,5.51,5.29,5.48,5.36,5.26,5.24,10.02,9.74,9.98,9.30,9.61,10.18,9.31,9.52,9.99,9.28,10.01,9.69
3,7,1.00,87.69,87.59,90.24,90.35,21.05,21.32,30.50,29.89,28.35,28.70,44.24,44.78,614.58,614.44,547.20,547.48,455.15,455.37,5.38,5.33,5.45,5.80,5.47,5.53,5.55,5.33,5.53,5.41,5.24,5.52,9.59,9.87,9.93,9.54,9.45,9.94,9.45,9.81,9.96,9.40,9.50,9.35
3,8,1.00,87.89,87.98,90.44,90.55,21.15,21.22,30.41,29.95,28.53,28.55,44.65,44.35,614.22,614.38,547.51,547.62,455.21,455.42,5.33,5.29,5.40,5.76,5.45,5.50,5.54,5.58,5.56,5.43,5.28,5.50,9.63,9.81,9.93,9.51,9.51,9.98,9.41,9.76,9.94,9.36,9.45,9.31
3,9,1.00,87.89,87.82,90.58,90.39,21.22,21.36,30.22,30.08,28.43,28.62,44.58,44.29,614.38,614.47,547.38,547.54,455.18,455.36,5.30,5.27,5.34,5.75,5.42,5.56,5.52,5.10,5.49,5.37,5.21,5.47,9.57,9.79,9.96,9.50,9.48,9.97,9.37,9.74,9.92,9.34,9.44,9.36
4,10,1.00,89.62,89.57,91.35,91.68,20.66,20.89,28.85,28.05,29.65,29.60,45.19,45.17,614.38,614.36,546.75,546.95,455.20,455.15,6.17,5.44,6.03,5.49,5.50,5.54,5.68,5.31,5.61,5.32,5.42,5.40,9.24,9.15,9.54,9.51,9.57,9.91,9.34,9.15,9.42,9.55,9.56,9.58
4,11,1.00,89.78,89.69,91.58,91.77,20.69,20.78,28.98,28.26,29.35,29.44,45.11,45.19,614.52,614.37,547.08,547.20,455.16,455.12,6.10,5.40,6.01,5.45,5.47,5.52,5.62,5.27,5.58,5.29,5.38,5.41,9.26,9.18,9.56,9.54,9.60,9.96,9.38,9.19,9.44,9.50,9.52,9.54
4,12,1.00,89.69,89.77,91.68,91.59,20.85,20.74,28.89,29.31,29.48,29.58,45.07,45.11,614.38,614.44,546.96,547.28,455.26,455.18,6.15,5.42,6.05,5.58,5.44,5.56,5.64,5.29,5.54,5.30,5.38,5.44,9.20,9.24,9.54,9.58,9.61,9.95,9.36,9.21,9.41,9.48,9.56,9.57
5,13,1.00,87.46,89.85,90.38,90.40,21.07,21.20,29.86,29.49,28.80,29.01,44.37,44.29,614.87,614.35,546.86,546.80,455.47,455.60,5.60,5.33,5.53,5.60,5.24,5.44,5.78,5.38,5.54,5.42,5.24,5.36,9.86,9.85,10.18,9.46,9.76,9.74,9.42,9.50,10.02,9.37,9.77,9.45
5,14,1.00,87.95,89.62,90.22,90.68,21.18,21.39,29.71,29.32,28.62,29.04,44.39,44.38,614.28,614.38,546.95,546.88,455.54,455.63,5.68,5.36,5.58,5.63,5.27,5.48,5.69,5.41,5.58,5.49,5.27,5.39,9.90,9.81,10.12,9.41,9.72,9.75,9.38,9.46,9.99,9.34,9.69,9.51
5,15,1.00,88.15,89.77,90.38,90.48,21.33,21.48,29.64,29.52,28.45,29.11,44.59,44.44,614.38,614.29,547.15,546.97,455.41,455.53,5.61,5.38,5.54,5.65,5.29,5.50,5.71,5.54,5.47,5.44,5.31,5.34,9.87,9.84,10.10,9.45,9.78,9.68,9.35,9.44,10.05,9.38,9.72,9.52
6,16,1.00,88.59,88.98,91.43,91.26,20.68,20.89,29.20,28.68,29.06,29.32,45.09,44.89,614.60,614.26,547.16,548.46,454.76,454.98,5.74,5.31,5.51,5.59,5.30,5.58,5.56,5.28,5.46,5.56,5.41,5.54,9.55,9.60,9.66,9.32,9.18,9.29,9.35,9.70,9.80,9.10,9.37,9.43
6,17,1.00,88.69,88.59,91.68,91.22,20.77,20.71,29.56,28.55,29.10,29.35,45.11,44.95,614.52,614.39,547.33,548.20,455.11,455.17,5.70,5.30,5.54,5.54,5.25,5.54,5.50,5.31,5.41,5.53,5.37,5.58,9.59,9.61,9.64,9.29,9.21,9.35,9.41,9.64,9.76,9.18,9.29,9.44
6,18,1.00,88.85,88.78,91.58,91.35,20.94,20.88,29.36,28.48,29.04,29.47,45.07,44.85,614.38,614.47,547.29,548.33,455.03,455.13,5.65,5.28,5.49,5.50,5.31,5.56,5.49,5.36,5.41,5.58,5.31,5.51,9.54,9.58,9.60,9.20,9.28,9.34,9.38,9.66,9.73,9.21,9.31,9.48